Time;69_10;69_36;69_49;69_62;69_75;69_88;69_101;69_790;69_894;69_933;69_946
17.01.2023 09:46:26.820000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.870000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.920000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.970000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:27.020000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:27.070000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.120000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.170000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.220000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.270000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.320000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.370000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.420000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.470000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.520000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.570000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.620000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.670000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.720000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.770000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.820000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.870000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.920000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:27.970000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.020000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.070000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.120000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.170000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.220000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.270000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.320000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.370000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.420000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.470000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.520000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.570000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.620000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.670000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.720000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.770000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.820000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.870000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.920000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:28.970000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.020000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.070000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.120000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.170000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.220000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.270000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.320000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.370000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.420000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.470000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.520000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.570000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.620000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.670000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.720000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.770000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.820000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.870000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.920000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:29.970000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.020000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:30.070000;1;1;1;0;1;1;1;0;1;1;0
